epoch,train_loss,train_pred_loss,train_reg_loss,val_loss
0,0.5650653523967621,0.018200176122023706,10.955503524617946,0.6379611287581719
1,0.28648110862742077,0.019415965997316736,5.360718729140911,0.6330911782333406
2,0.18693125086261872,0.023675972948524547,3.2887814719626243,0.7061159916348376
3,0.16642458147190986,0.025659776645454956,2.8409558301276348,0.6719892613463483
4,0.15286370347788994,0.024387470141370247,2.5939121053573935,0.7072380786224947
5,0.14888900378917125,0.023386705365586787,2.5334326429569973,0.6993804394693698
6,0.1449769419875551,0.021407403008259357,2.492798152883002,0.7256611459336039
7,0.1397740952829097,0.019140853106658508,2.4318056720368406,0.7342418119058771
8,0.13410832219301386,0.01764760334044695,2.346861941763695,0.7561472093654891
9,0.13134370696671466,0.017367927389259033,2.296883493788699,0.7607897787781085
10,0.12781659510541468,0.015571158323833283,2.2604798565519615,0.7731094668477269
11,0.12374780247820184,0.014483135518558482,2.199776432362009,0.7851724028587341
12,0.12156061767897708,0.013646019357157514,2.171937948084892,0.8185938960414821
13,0.11943313159207081,0.013349604047834873,2.1350201287168136,0.7635570279622482
14,0.11505408255343741,0.012450515906861487,2.064521814407186,0.8089327650555109
15,0.11299250040282595,0.011544894973965401,2.0404969773393997,0.8039627231783786
16,0.10992170971758822,0.010868323415993376,1.991936021662773,0.8311164353863668
17,0.10916468602545717,0.010555227659642697,1.9827443670719227,0.8452833729275202
18,0.10404732265370957,0.010128161517229487,1.888511352336153,0.8386493739435228
19,0.10252920211629665,0.009273314921859097,1.8743910246707023,0.8252567891347207
20,0.10519946899185789,0.00948773238887178,1.923722442667535,0.8510012358932172
21,0.0993373415571578,0.008581028440769049,1.8237072655495177,0.8466722727832148
22,0.09774612159805095,0.008214681983945217,1.7988434497346268,0.8487423900830544
23,0.09648272287338339,0.007984414070527605,1.7779505567347749,0.8639517027442738
24,0.09475693797811549,0.007398781764935306,1.754561869641568,0.8695652641482272
25,0.0950872503379558,0.007193831544607243,1.7650621809857956,0.8534909900972398
26,0.09264729409775835,0.00714625824599507,1.7171669427384721,0.8876687399411606
27,0.09225264645003257,0.0067599865786255675,1.7166131531938593,0.8440142203185518
